SubscriptionGuid;ResourceGroup;ResourceLocation;UsageDateTime;MeterCategory;MeterSubCategory;MeterId;MeterName;MeterRegion;UsageQuantity;ResourceRate;PreTaxCost;ConsumedService;Resource Type;InstanceId;Tags;OfferId;AdditionalInfo;ServiceInfo1;ServiceInfo2;ServiceName;ServiceTier;Currency;UnitOfMeasure
1c74e770-13fc-4d26-ad3e-6e422377975b;rg-innovation-center-cases-website-hml;US East;28/02/2026;Azure App Service;Free Plan - Linux;a90aec9f-eecb-42c7-8421-9b96716996dc;F1 App;;0.032256;0;0;microsoft.web;microsoft.web/sites;/subscriptions/1c74e770-13fc-4d26-ad3e-6e422377975b/resourcegroups/rg-innovation-center-cases-website-hml/providers/microsoft.web/sites/innovationbr;;MS-AZR-0003P;"{  ""AppServicePlanUri"": ""/subscriptions/1c74e770-13fc-4d26-ad3e-6e422377975b/resourcegroups/rg-innovation-center-cases-website-hml/providers/microsoft.web/serverfarms/asp-innovation-center""}";;;Azure App Service;Azure App Service Free Plan - Linux;USD;1 Hour
1c74e770-13fc-4d26-ad3e-6e422377975b;ms-2rdatatel-fortinet;BR South;28/02/2026;Virtual Network;IP Addresses;9c150bf9-2bad-430e-a53c-c213804f49ef;Standard IPv4 Static Public IP;;24;0.005;0.12;microsoft.network;microsoft.network/publicipaddresses;/subscriptions/1c74e770-13fc-4d26-ad3e-6e422377975b/resourcegroups/ms-2rdatatel-fortinet/providers/microsoft.network/publicipaddresses/ip-2rdatatel-ad-1;"{""ms-2rdatatel-fortinet"":""pref-duque-caxias""}";MS-AZR-0003P;;;;Virtual Network;IP Address;USD;200 Hours
1c74e770-13fc-4d26-ad3e-6e422377975b;ms-tdsynnex-br;BR South;28/02/2026;Virtual Network;IP Addresses;9c150bf9-2bad-430e-a53c-c213804f49ef;Standard IPv4 Static Public IP;;24;0.005;0.12;microsoft.network;microsoft.network/publicipaddresses;/subscriptions/1c74e770-13fc-4d26-ad3e-6e422377975b/resourcegroups/ms-tdsynnex-br/providers/microsoft.network/publicipaddresses/vm-tests-microsoft-ip;"{""ms-tdsynnex-br"":""laboratório""}";MS-AZR-0003P;;;;Virtual Network;IP Address;USD;200 Hours
1c74e770-13fc-4d26-ad3e-6e422377975b;GIGAMON-TDSYNNEX-BR;BR South;28/02/2026;Storage;Standard HDD Managed Disks;bd5a77f6-93be-4dde-8822-be7f8f4df8d8;S4 LRS Disk;BR South;0.035712;3.686.400.000.000.000;0.1316487168;Microsoft.Compute;Microsoft.Compute/disks;/subscriptions/1c74e770-13fc-4d26-ad3e-6e422377975b/resourceGroups/GIGAMON-TDSYNNEX-BR/providers/Microsoft.Compute/disks/linuxtest_disk1_ac5b130197fb45ff80bb441b250b3f27;;MS-AZR-0003P;;;;Storage;Std HDD;USD;1 /Month
1c74e770-13fc-4d26-ad3e-6e422377975b;splunk-tdsynnex-br;BR South;28/02/2026;Service Bus;;2a9992f8-e914-490b-a7a6-6d21ba55acda;Standard Messaging Operations;;0.000011;0;0;Microsoft.EventHub;Microsoft.EventHub/namespaces;/subscriptions/1c74e770-13fc-4d26-ad3e-6e422377975b/resourceGroups/splunk-tdsynnex-br/providers/Microsoft.EventHub/namespaces/splunkms;"{""ms-tdsynnex-br"":""labsplunk""}";MS-AZR-0003P;;;;Service Bus;Service Bus;USD;10000000
1c74e770-13fc-4d26-ad3e-6e422377975b;cloud-shell-storage-eastus;US East;28/02/2026;Storage;Files;ed8a651a-e0a3-4de6-a8ae-3b4ce8cb72cf;LRS Data Stored;;0.17856;0.06;0.0107136;Microsoft.Storage;Microsoft.Storage/storageAccounts;/subscriptions/1c74e770-13fc-4d26-ad3e-6e422377975b/resourceGroups/cloud-shell-storage-eastus/providers/Microsoft.Storage/storageAccounts/cs2100320053dcf7365;"{""ms-resource-usage"":""azure-cloud-shell""}";MS-AZR-0003P;;;;Storage;Files;USD;100 GB/Month
1c74e770-13fc-4d26-ad3e-6e422377975b;;US East;28/02/2026;GitHub;Enterprise (GHE);bc843f27-e9da-5ee1-b628-2a60bd1a2a1f;Enterprise User;;0.107142855;21;2.249.999.955;customer-62755317;GitHub/EnterpriseAccount;/subscriptions/1c74e770-13fc-4d26-ad3e-6e422377975b/providers/GitHub/EnterpriseAccount/customer-62755317;;MS-AZR-0003P;;;;GitHub;GitHub Enterprise (GHE);USD;1 /Month
1c74e770-13fc-4d26-ad3e-6e422377975b;rg-datacentrics-poc-brs;US East;28/02/2026;Virtual Network;IP Addresses;9c150bf9-2bad-430e-a53c-c213804f49ef;Standard IPv4 Static Public IP;;24;0.005;0.12;microsoft.network;microsoft.network/publicipaddresses;/subscriptions/1c74e770-13fc-4d26-ad3e-6e422377975b/resourcegroups/rg-datacentrics-poc-brs/providers/microsoft.network/publicipaddresses/vm-host-sql-ip;;MS-AZR-0003P;;;;Virtual Network;IP Address;USD;200 Hours
1c74e770-13fc-4d26-ad3e-6e422377975b;ms-tdsynnex-br;BR South;27/02/2026;Bandwidth;Rtn Preference: MGN;c089a13a-9dd0-44b5-aa9e-44a77bbd6788;Standard Data Transfer Out;BR South;0.07317004352808;0;0;microsoft.compute;microsoft.compute/virtualmachines;/subscriptions/1c74e770-13fc-4d26-ad3e-6e422377975b/resourcegroups/ms-tdsynnex-br/providers/microsoft.compute/virtualmachines/vm-tests-microsoft;"{""ms-tdsynnex-br"":""laboratório""}";MS-AZR-0003P;"{  ""PlatformType"": ""Oro"",  ""NodeId"": ""3113a4ba-4d86-48d5-964a-54875a3d04b4"",  ""NodeIp"": ""10.37.224.7"",  ""ContainerId"": ""ce06738f-1520-458d-9289-0dbe4d3d7f77"",  ""VmName"": ""vm-tests-microsoft""}";;;Bandwidth;Rtn Pref: MGN;USD;10 GB
1c74e770-13fc-4d26-ad3e-6e422377975b;service-tdsynnex-br;BR South;27/02/2026;Virtual Network;IP Addresses;9c150bf9-2bad-430e-a53c-c213804f49ef;Standard IPv4 Static Public IP;;24;0.005;0.12;microsoft.network;microsoft.network/publicipaddresses;/subscriptions/1c74e770-13fc-4d26-ad3e-6e422377975b/resourcegroups/service-tdsynnex-br/providers/microsoft.network/publicipaddresses/vng-public-ip02;;MS-AZR-0003P;;;;Virtual Network;IP Address;USD;200 Hours
